life expectancy,fertility
75.3,2.73
58.3,6.43
75.5,2.24
72.5,1.4
81.5,1.96
80.4,1.41
70.6,1.99
72.2,1.89
68.4,2.38
75.3,1.83
70.1,1.42
79.4,1.82
70.7,2.91
63.2,5.27
67.6,2.51
70.9,3.48
61.2,2.86
73.9,1.9
73.2,1.43
59.4,6.04
57.4,6.48
66.2,3.05
56.6,5.17
80.7,1.68
54.8,6.81
78.9,1.89
75.1,2.43
62.6,5.05
58.6,5.1
79.7,1.91
55.9,4.91
76.5,1.43
77.8,1.5
78.7,1.89
61,3.76
74,2.73
70.1,2.95
74.1,2.32
56.7,5.31
60.4,5.16
74,1.62
65.7,2.74
79.4,1.85
81,1.97
57.5,4.28
62.2,5.8
72.1,1.79
80,1.37
62.7,4.19
79.5,1.46
70.8,4.12
58.3,5.34
51.3,5.25
63,2.74
61.7,3.5
70.9,3.27
73.8,1.33
82,2.12
64.4,2.64
69.5,2.48
76.9,1.88
79.4,2
80.9,2.92
81.4,1.39
75.5,2.39
82.6,1.34
66.1,2.51
61.5,4.76
72.3,1.5
77.6,1.57
45.2,3.34
61,5.19
72,1.42
80.7,1.63
63.4,4.79
51.4,5.78
74.5,2.05
78.2,2.38
55.8,6.82
81.4,1.38
63.6,4.94
72.1,1.58
75.7,2.35
69.6,1.49
63.2,2.37
73.3,2.44
55,5.54
60.8,2.05
68.6,2.9
80.3,1.77
80.2,2.12
75.2,2.72
59.7,7.59
58,6.02
80.7,1.96
74.6,2.89
64.1,3.58
77.1,2.61
58.2,4.07
73.6,3.06
76.8,2.58
69.4,3.26
75.3,1.33
79.2,1.36
80.4,2.2
73.4,1.34
67.6,1.49
62.2,5.06
64.3,5.11
76.4,1.41
55.9,5.13
80.9,1.28
74.8,1.31
78.5,1.43
56.7,7.06
55,2.54
81.1,1.42
74.3,2.32
67.4,4.79
69.1,2.41
46.1,3.7
81.1,1.92
81.9,1.47
69.5,3.7
59.7,5.54
74.1,1.48
60,4.88
71.3,1.8
76.5,2.04
75.1,2.15
57.2,6.34
68.2,1.38
79.5,1.87
78.2,2.07
76,2.11
68.7,2.46
75.4,1.86
52,5.88
49,3.85
