life,child_mortality
75.3,29.5
58.3,192
75.5,15.4
72.5,20
81.5,5.2
80.4,4.6
70.6,43.3
72.2,14.5
68.4,55.9
75.3,15.4
70.1,7.2
79.4,4.7
70.7,20.1
63.2,116.3
67.6,48.1
70.9,52
61.2,63.8
73.9,18.6
73.2,13.7
59.4,130.4
57.4,108.6
66.2,51.5
56.6,113.8
80.7,5.8
54.8,168
78.9,8.9
75.1,19.7
62.6,91.2
58.6,72.6
79.7,10.3
55.9,116.9
76.5,5.9
77.8,6.3
78.7,4.3
61,81
74,26.8
70.1,31.4
74.1,21.6
56.7,118.4
60.4,60.4
74,5.5
65.7,24
79.4,3.3
81,4.3
57.5,68
62.2,87.4
72.1,19.3
80,4.4
62.7,79.9
79.5,4.9
70.8,36.9
58.3,121
51.3,127.6
63,41.9
61.7,83.3
70.9,26.5
73.8,7.2
82,2.7
64.4,65.6
69.5,36.2
76.9,21.4
79.4,4.5
80.9,4.9
81.4,4.1
75.5,18.9
82.6,3.4
66.1,25.9
61.5,71
72.3,10.5
77.6,11.3
45.2,114.2
61,100.9
72,8.2
80.7,2.8
63.4,66.7
51.4,101.1
74.5,8
78.2,16
55.8,148.3
81.4,6.6
63.6,103
72.1,15.8
75.7,17.9
69.6,17.6
63.2,34.8
73.3,35.8
55,114.4
60.8,87.2
68.6,50.7
80.3,4.8
80.2,6.4
75.2,28.1
59.7,141.3
58,140.9
80.7,3.6
74.6,11.9
64.1,95.5
77.1,21
58.2,69.7
73.6,25.7
76.8,23.2
69.4,33.4
75.3,6.7
79.2,4.1
80.4,9.5
73.4,16.1
67.6,13.5
62.2,78.3
64.3,75.8
76.4,8
55.9,179.1
80.9,2.8
74.8,8.8
78.5,3.7
56.7,168.5
55,66.1
81.1,5
74.3,11.7
67.4,84.7
69.1,26.4
46.1,112.2
81.1,3.2
81.9,4.7
69.5,56.2
59.7,72.4
74.1,15.6
60,96.4
71.3,24.9
76.5,19.4
75.1,22.2
57.2,89.3
68.2,12.9
79.5,5.6
78.2,7.7
76,13
68.7,49.2
75.4,26.2
52,94.9
49,98.3
